cd_acao_rdz;nm_empresa;setor_economico;subsetor;segmento;segmento_b3;cd_acao;cnpj
RDVT;ROD TIETE;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;;;
CRBD;RT BANDEIRAS;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;;;
TRIA;TRIANGULOSOL;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;;;
TPIS;TRIUNFO PART;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NM;TPIS3;03.014.553/0001-91
VOES;VIAOESTE;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;;;
AGRU;GRUAIRPORT;BENS INDUSTRIAIS;TRANSPORTE;SERVIÇOS DE APOIO E ARMAZENAGEM;MB;;
PSVM;PORTO VM;BENS INDUSTRIAIS;TRANSPORTE;SERVIÇOS DE APOIO E ARMAZENAGEM;;PSVM11;18.494.485/0001-82
IVPR;INVEPAR;BENS INDUSTRIAIS;TRANSPORTE;SERVIÇOS DE APOIO E ARMAZENAGEM;MB;IVPR4B, IVPR3B;03.758.318/0001-24
SAIP;SALUS INFRA;BENS INDUSTRIAIS;TRANSPORTE;SERVIÇOS DE APOIO E ARMAZENAGEM;;;
STBP;SANTOS BRP;BENS INDUSTRIAIS;TRANSPORTE;SERVIÇOS DE APOIO E ARMAZENAGEM;N2;STBP3;02.762.121/0001-04
WSON;WILSON SONS;BENS INDUSTRIAIS;TRANSPORTE;SERVIÇOS DE APOIO E ARMAZENAGEM;DR3;WSON33;05.721.735/0001-28
ATMP;ATMASA;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS;SERVIÇOS DIVERSOS;NM;;
BBML;BBMLOGISTICA;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS;SERVIÇOS DIVERSOS;MA;BBML3;01.107.327/0001-20
CARD;CSU CARDSYST;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS;SERVIÇOS DIVERSOS;NM;CARD3;01.896.779/0001-38
DTCY;DTCOM-DIRECT;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS;SERVIÇOS DIVERSOS;;DTCY3, DTCY4;03.303.999/0001-36
FLEX;FLEX S/A;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS;SERVIÇOS DIVERSOS;MA;FLEX3;10.851.805/0001-00
PRNR;PRINER;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS;SERVIÇOS DIVERSOS;MA;PRNR3;18.593.815/0001-97
VLID;VALID;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS;SERVIÇOS DIVERSOS;NM;VLID3;33.113.309/0001-47
BTTL;BATTISTELLA;BENS INDUSTRIAIS;COMÉRCIO;MATERIAL DE TRANSPORTE;;BTTL3;42.331.462/0001-31
MMAQ;MINASMAQUINA;BENS INDUSTRIAIS;COMÉRCIO;MATERIAL DE TRANSPORTE;;MMAQ3, MMAQ4;17.161.241/0001-15
WLMM;WLM IND COM;BENS INDUSTRIAIS;COMÉRCIO;MATERIAL DE TRANSPORTE;;WLMM3, WLMM4;33.228.024/0001-51
APTI;ALIPERTI;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;;APTI3, APTI4;61.156.931/0001-78
AGRO;BRASILAGRO;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;AGRO3;07.628.528/0001-59
FRTA;POMIFRUTAS;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;FRTA3;86.550.951/0001-50
SLCE;SLC AGRICOLA;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;SLCE3;89.096.457/0001-55
TESA;TERRA SANTA;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;TESA12, TESA3;05.799.312/0001-20
BSEV;BIOSEV;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;AÇUCAR E ALCOOL;NM;BSEV3;15.527.906/0001-36
RESA;RAIZEN ENERG;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;AÇUCAR E ALCOOL;;;
SMTO;SAO MARTINHO;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;AÇUCAR E ALCOOL;NM;SMTO3;51.466.860/0001-56
BRFS;BRF SA;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;NM;BRFS3;01.838.723/0001-27
BAUH;EXCELSIOR;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;;BAUH3, BAUH4;95.426.862/0001-97
JBSS;JBS;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;NM;JBSS3;02.916.265/0001-60
MRFG;MARFRIG;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;NM;MRFG3;03.853.896/0001-40
BEEF;MINERVA;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;NM;BEEF3, BEEF11;67.620.377/0001-14
MNPR;MINUPAR;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;;MNPR3;90.076.886/0001-40
CAML;CAMIL;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;NM;CAML3;64.904.295/0001-03
JMCD;J.MACEDO;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;;;
JOPA;JOSAPAR;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;;JOPA3, JOPA4;87.456.562/0001-22
MDIA;M.DIASBRANCO;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;NM;MDIA3;07.206.816/0001-15
ODER;ODERICH;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;;ODER3, ODER4;97.191.902/0001-94
ABEV;AMBEV S/A;CONSUMO NÃO CÍCLICO;BEBIDAS;CERVEJAS E REFRIGERANTES;;ABEV3;07.526.557/0001-00
NTCO;GRUPO NATURA;CONSUMO NÃO CÍCLICO;PRODUTOS DE USO PESSOAL E DE LIMPEZA;PRODUTOS DE USO PESSOAL;NM;NTCO3;32.785.497/0001-97
BOBR;BOMBRIL;CONSUMO NÃO CÍCLICO;PRODUTOS DE USO PESSOAL E DE LIMPEZA;PRODUTOS DE LIMPEZA;;BOBR3, BOBR4;50.564.053/0001-03
CRFB;CARREFOUR BR;CONSUMO NÃO CÍCLICO;COMÉRCIO E DISTRIBUIÇÃO;ALIMENTOS;NM;CRFB3;75.315.333/0001-09
PCAR;P.ACUCAR-CBD;CONSUMO NÃO CÍCLICO;COMÉRCIO E DISTRIBUIÇÃO;ALIMENTOS;N1;PCAR3;47.508.411/0001-56
CALI;CONST A LIND;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;;CALI3, CALI4;61.022.042/0001-18
CRDE;CR2;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;CRDE3;07.820.907/0001-46
CYRE;CYRELA REALT;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;CYRE3;73.178.600/0001-18
DIRR;DIRECIONAL;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;DIRR3;16.614.075/0001-00
EVEN;EVEN;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;EVEN3;43.470.988/0001-65
EZTC;EZTEC;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;EZTC3;08.312.229/0001-73
GFSA;GAFISA;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;GFSA3;01.545.826/0001-07
HBOR;HELBOR;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;HBOR3;49.263.189/0001-02
INNT;INTER SA;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;MA;INNT3;09.611.768/0001-76
JHSF;JHSF PART;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;JHSF3;08.294.224/0001-65
JFEN;JOAO FORTES;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;;JFEN3;33.035.536/0001-00
MTRE;MITRE REALTY;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;MTRE3;07.882.930/0001-65
MDNE;MOURA DUBEUX;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;MDNE3;12.049.631/0001-84
MRVE;MRV;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;MRVE3;08.343.492/0001-20
PDGR;PDG REALT;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;PDGR3;02.950.811/0001-89
RDNI;RNI;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;RDNI3;67.010.660/0001-24
RSID;ROSSI RESID;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;RSID3;61.065.751/0001-80
TCSA;TECNISA;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;TCSA3;08.065.557/0001-12
TEND;TENDA;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;TEND3;71.476.527/0001-35
TRIS;TRISUL;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;TRIS3;08.811.643/0001-27
VIVR;VIVER;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;VIVR3;67.571.414/0001-41
CEDO;CEDRO;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;N1;CEDO4, CEDO3;17.245.234/0001-00
CTNM;COTEMINAS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;;CTNM4, CTNM3;22.677.520/0001-76
DOHL;DOHLER;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;;DOHL3, DOHL4;84.683.408/0001-03
ECPR;ENCORPAR;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;;ECPR3, ECPR4;01.971.614/0001-83
CATA;IND CATAGUAS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;;CATA3, CATA4;19.526.748/0001-50
CTKA;KARSTEN;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;;CTKA4, CTKA3;82.640.558/0001-04
PTNT;PETTENATI;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;;PTNT3, PTNT4;88.613.658/0001-10
CTSA;SANTANENSE;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;;CTSA3, CTSA4, CTSA8;21.255.567/0001-89
SGPS;SPRINGS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;NM;SGPS3;07.718.269/0001-57
TEKA;TEKA;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;;TEKA3, TEKA4;82.636.986/0001-55
TXRX;TEX RENAUX;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;;;
HGTX;CIA HERING;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;VESTUÁRIO;NM;HGTX3;78.876.950/0001-71
ALPA;ALPARGATAS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;CALÇADOS;N1;ALPA3, ALPA4;61.079.117/0001-05
CAMB;CAMBUCI;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;CALÇADOS;;CAMB3;61.088.894/0001-08
GRND;GRENDENE;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;CALÇADOS;NM;GRND3;89.850.341/0001-60
VULC;VULCABRAS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;CALÇADOS;NM;VULC3;50.926.955/0001-42
MNDL;MUNDIAL;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;ACESSÓRIOS;;MNDL3;88.610.191/0001-54
TECN;TECHNOS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;ACESSÓRIOS;NM;TECN3;09.295.063/0001-97
VIVA;VIVARA S.A.;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;ACESSÓRIOS;NM;VIVA3;33.839.910/0001-11
WHRL;WHIRLPOOL;CONSUMO CÍCLICO;UTILIDADES DOMÉSTICAS;ELETRODOMÉSTICOS;;WHRL3;59.105.999/0001-86
UCAS;UNICASA;CONSUMO CÍCLICO;UTILIDADES DOMÉSTICAS;MÓVEIS;NM;UCAS3;90.441.460/0001-48
HETA;HERCULES;CONSUMO CÍCLICO;UTILIDADES DOMÉSTICAS;UTENSÍLIOS DOMÉSTICOS;;HETA3, HETA4;92.749.225/0001-63
MYPK;IOCHP-MAXION;CONSUMO CÍCLICO;AUTOMÓVEIS E MOTOCICLETAS;AUTOMÓVEIS E MOTOCICLETAS;NM;MYPK3;61.156.113/0001-75
LEVE;METAL LEVE;CONSUMO CÍCLICO;AUTOMÓVEIS E MOTOCICLETAS;AUTOMÓVEIS E MOTOCICLETAS;NM;LEVE3;60.476.884/0001-87
PLAS;PLASCAR PART;CONSUMO CÍCLICO;AUTOMÓVEIS E MOTOCICLETAS;AUTOMÓVEIS E MOTOCICLETAS;;PLAS3;51.928.174/0001-50
HOOT;HOTEIS OTHON;CONSUMO CÍCLICO;HOTEIS E RESTAURANTES;HOTELARIA;;HOOT4;33.200.049/0001-47
BKBR;BK BRASIL;CONSUMO CÍCLICO;HOTEIS E RESTAURANTES;RESTAURANTE E SIMILARES;NM;BKBR3;13.574.594/0001-96
MEAL;IMC S/A;CONSUMO CÍCLICO;HOTEIS E RESTAURANTES;RESTAURANTE E SIMILARES;NM;MEAL3;17.314.329/0001-20
BMKS;BIC MONARK;CONSUMO CÍCLICO;VIAGENS E LAZER;BICICLETAS;;BMKS3;56.992.423/0001-90
ESTR;ESTRELA;CONSUMO CÍCLICO;VIAGENS E LAZER;BRINQUEDOS E JOGOS;;ESTR4, ESTR3;61.082.004/0001-50
AHEB;SPTURIS;CONSUMO CÍCLICO;VIAGENS E LAZER;PRODUÇÃO DE EVENTOS E SHOWS;;AHEB3, AHEB5, AHEB6;62.002.886/0001-60
SHOW;TIME FOR FUN;CONSUMO CÍCLICO;VIAGENS E LAZER;PRODUÇÃO DE EVENTOS E SHOWS;NM;SHOW3;02.860.694/0001-62
CVCB;CVC BRASIL;CONSUMO CÍCLICO;VIAGENS E LAZER;VIAGENS E TURISMO;NM;CVCB3;10.760.260/0001-19
SMFT;SMART FIT;CONSUMO CÍCLICO;VIAGENS E LAZER;ATIVIDADES ESPORTIVAS;M2;SMFT3;07.594.978/0001-78
ANIM;ANIMA;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;NM;ANIM3;09.288.252/0001-32
BAHI;BAHEMA;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;MA;BAHI3;45.987.245/0001-92
COGN;COGNA ON;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;NM;COGN3;02.800.026/0001-40
SEER;SER EDUCA;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;NM;SEER3;04.986.320/0001-13
YDUQ;YDUQS PART;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;NM;YDUQ3;08.807.432/0001-10
RENT;LOCALIZA;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;NM;RENT3;16.670.085/0001-55
LCAM;LOCAMERICA;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;NM;LCAM3;10.215.988/0001-60
MSRO;MAESTROLOC;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;M2;MSRO3;08.795.211/0001-70
MOVI;MOVIDA;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;NM;MOVI3;21.314.559/0001-66
UNID;UNIDAS;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;;;
SMLS;SMILES;CONSUMO CÍCLICO;DIVERSOS;PROGRAMAS DE FIDELIZAÇÃO;NM;SMLS3;05.730.375/0001-20
ARZZ;AREZZO CO;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;ARZZ3;16.590.234/0001-76
CEAB;CEA MODAS;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;CEAB3;45.242.914/0001-05
CGRA;GRAZZIOTIN;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;;CGRA4, CGRA3;92.012.467/0001-70
GUAR;GUARARAPES;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;;GUAR3;08.402.943/0001-52
LLIS;LE LIS BLANC;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;LLIS3;49.669.856/0001-43
AMAR;LOJAS MARISA;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;AMAR3;61.189.288/0001-89
LREN;LOJAS RENNER;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;LREN3;92.754.738/0001-62
MGLU;MAGAZ LUIZA;CONSUMO CÍCLICO;COMÉRCIO;ELETRODOMÉSTICOS;NM;MGLU3;47.960.950/0001-21
VVAR;VIAVAREJO;CONSUMO CÍCLICO;COMÉRCIO;ELETRODOMÉSTICOS;NM;VVAR3;33.041.260/0652-90
BTOW;B2W DIGITAL;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;NM;BTOW3;00.776.574/0001-56
CNTO;CENTAURO;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;NM;CNTO3;13.217.485/0001-11
LAME;LOJAS AMERIC;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;N1;LAME3, LAME4;33.014.556/0001-96
SLED;SARAIVA LIVR;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;N2;SLED4, SLED3;60.500.139/0001-26
BIOM;BIOMM;SAÚDE;MEDICAMENTOS E OUTROS PRODUTOS;MEDICAMENTOS E OUTROS PRODUTOS;MA;BIOM3;04.752.991/0001-10
GBIO;BIOTOSCANA;SAÚDE;MEDICAMENTOS E OUTROS PRODUTOS;MEDICAMENTOS E OUTROS PRODUTOS;DR3;GBIO33;19.688.956/0001-56
NRTQ;NORTCQUIMICA;SAÚDE;MEDICAMENTOS E OUTROS PRODUTOS;MEDICAMENTOS E OUTROS PRODUTOS;MA;NRTQ3;29.950.060/0001-57
OFSA;OUROFINO S/A;SAÚDE;MEDICAMENTOS E OUTROS PRODUTOS;MEDICAMENTOS E OUTROS PRODUTOS;NM;OFSA3;20.258.278/0001-70
ADHM;ADVANCED-DH;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;;ADHM1, ADHM3;10.345.009/0001-98
AALR;ALLIAR;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;AALR3;42.771.949/0001-35
DASA;DASA;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;;DASA3;61.486.650/0001-83
FLRY;FLEURY;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;FLRY3;60.840.055/0001-31
HAPV;HAPVIDA;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;HAPV3;05.197.443/0001-38
PARD;IHPARDINI;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;PARD3;19.378.769/0001-76
GNDI;INTERMEDICA;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;GNDI3;19.853.511/0001-84
ODPV;ODONTOPREV;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;ODPV3;58.119.199/0001-51
QUAL;QUALICORP;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;QUAL3;11.992.680/0001-93
BALM;BAUMER;SAÚDE;EQUIPAMENTOS;EQUIPAMENTOS;;BALM4, BALM3;61.374.161/0001-30
LMED;LIFEMED;SAÚDE;EQUIPAMENTOS;EQUIPAMENTOS;MA;LMED3;02.357.251/0001-53
PNVL;DIMED;SAÚDE;COMÉRCIO E DISTRIBUIÇÃO;MEDICAMENTOS E OUTROS PRODUTOS;;PNVL4, PNVL3;92.665.611/0001-77
HYPE;HYPERA;SAÚDE;COMÉRCIO E DISTRIBUIÇÃO;MEDICAMENTOS E OUTROS PRODUTOS;NM;HYPE3;02.932.074/0001-91
PFRM;PROFARMA;SAÚDE;COMÉRCIO E DISTRIBUIÇÃO;MEDICAMENTOS E OUTROS PRODUTOS;NM;PFRM3;45.453.214/0001-51
RADL;RAIADROGASIL;SAÚDE;COMÉRCIO E DISTRIBUIÇÃO;MEDICAMENTOS E OUTROS PRODUTOS;NM;RADL3;61.585.865/0001-51
POSI;POSITIVO TEC;TECNOLOGIA DA INFORMAÇÃO;COMPUTADORES E EQUIPAMENTOS;COMPUTADORES E EQUIPAMENTOS;NM;POSI3;81.243.735/0001-48
BRQB;BRQ;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;MA;BRQB3;36.542.025/0001-64
LINX;LINX;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;LINX3;06.948.969/0001-75
LWSA;LOCAWEB;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;LWSA3;02.351.877/0001-52
QUSW;QUALITY SOFT;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;MA;QUSW3;35.791.391/0001-94
SQIA;SINQIA;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;SQIA3;04.065.791/0001-99
TOTS;TOTVS;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;TOTS3;53.113.791/0001-22
ALGT;ALGAR TELEC;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;;;
OIBR;OI;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;N1;OIBR4, OIBR3;76.535.764/0001-43
TELB;TELEBRAS;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;;TELB4, TELB3;00.336.701/0001-04
VIVT;TELEF BRASIL;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;;VIVT3, VIVT4;02.558.157/0001-62
TIMP;TIM PART S/A;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;NM;TIMP3;02.558.115/0001-21
CNSY;CINESYSTEM;COMUNICAÇÕES;MÍDIA;PRODUÇÃO E DIFUSÃO DE FILMES E PROGRAMAS;MA;CNSY3;07.437.016/0001-05
AESL;AES SUL;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
TIET;AES TIETE E;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N2;TIET11, TIET3, TIET4;04.128.563/0001-10
AFLT;AFLUENTE T;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;AFLT3;10.338.320/0001-00
ALUP;ALUPAR;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N2;ALUP11, ALUP3, ALUP4;08.364.948/0001-38
CBEE;AMPLA ENERG;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;CBEE3;33.050.071/0001-58
CPTE;CACHOEIRA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;MB;;
CEBR;CEB;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;CEBR6, CEBR5, CEBR3;00.070.698/0001-11
CEED;CEEE-D;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N1;CEED4, CEED3;08.467.115/0001-00
EEEL;CEEE-GT;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N1;EEEL4, EEEL3;92.715.812/0001-31
CLSC;CELESC;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N2;CLSC4, CLSC3;83.878.892/0001-55
GPAR;CELGPAR;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;GPAR3;08.560.444/0001-93
CEPE;CELPE;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;CEPE5, CEPE3;10.835.932/0001-08
CMIG;CEMIG;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N1;CMIG4, CMIG3;17.155.730/0001-64
CMGD;CEMIG DIST;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
CMGT;CEMIG GT;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
